City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
295,Capao Da Canoa,BR,-29.7456,-50.0097,67.12,69,0,6.13,clear sky
296,Rajapur,IN,25.3833,81.15,102.87,4,0,8.03,clear sky
297,Aklavik,CA,68.2191,-135.0107,-31.79,100,42,1.57,scattered clouds
298,Bestobe,KZ,52.4994,73.0975,37.13,92,98,12.48,overcast clouds
299,Fairbanks,US,64.8378,-147.7164,16.14,41,100,10.36,overcast clouds
300,Morris,US,40.8334,-74.5329,37.15,62,75,11.5,broken clouds
301,Inyonga,TZ,-6.7167,32.0667,81.55,51,46,4.72,scattered clouds
302,Victor Harbor,AU,-35.5667,138.6167,60.53,87,94,12.1,overcast clouds
303,Broome,US,42.2506,-75.833,32.63,71,100,13.8,overcast clouds
304,Tecoanapa,MX,16.5167,-98.75,70.0,60,58,3.15,broken clouds
305,Baloda,IN,22.15,82.4833,102.94,7,5,3.11,clear sky
306,Price,US,39.5994,-110.8107,38.12,47,0,8.05,clear sky
307,Inverell,AU,-29.7833,151.1167,59.16,79,55,1.01,broken clouds
308,Erenhot,CN,43.6475,111.9767,48.81,21,33,10.63,scattered clouds
309,Lamu,KE,-2.2717,40.902,88.02,61,78,12.57,broken clouds
310,Marawi,PH,7.9986,124.2928,69.96,97,100,2.84,moderate rain
311,Mahebourg,MU,-20.4081,57.7,75.49,94,75,6.91,light rain
312,Beyla,GN,8.6833,-8.6333,87.87,48,97,5.3,overcast clouds
313,Asau,RO,46.4333,26.4,61.72,53,96,11.56,overcast clouds
314,Nouadhibou,MR,20.931,-17.0347,66.18,77,6,18.41,clear sky
315,Bombay,IN,19.0144,72.8479,85.98,54,95,13.8,smoke
316,Lobau,DE,51.1,14.6667,44.56,40,100,14.16,overcast clouds
317,Nabire,ID,-3.3667,135.4833,79.25,82,100,5.32,overcast clouds
318,Kachiry,KZ,53.0675,76.1036,35.74,100,100,6.89,overcast clouds
319,Bredasdorp,ZA,-34.5322,20.0403,68.27,58,82,17.22,light rain
320,Ertil,RU,51.8406,40.8056,65.66,54,68,15.52,broken clouds
321,Imbituba,BR,-28.24,-48.6703,67.82,77,98,3.8,overcast clouds
322,Binuangan,PH,8.9153,124.7883,76.42,82,99,5.82,moderate rain
323,Otane,NZ,-39.8833,176.6333,59.02,95,92,0.94,overcast clouds
324,Sitka,US,57.0531,-135.33,42.69,61,100,10.36,light rain
325,Vostochnyy,RU,55.8167,37.8667,32.18,98,100,13.96,snow
326,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,80,75,7.0,broken clouds
327,Montrose,US,38.4166,-108.2673,28.45,52,3,3.44,clear sky
328,Le Vauclin,MQ,14.5452,-60.8388,82.45,69,20,14.97,few clouds
329,Vila Velha,BR,-20.3297,-40.2925,84.15,76,75,6.91,broken clouds
330,San Rafael,AR,-34.6177,-68.3301,56.1,38,0,8.59,clear sky
331,Trairi,BR,-3.2778,-39.2689,74.34,95,100,5.99,overcast clouds
332,Mnogovershinnyy,RU,53.9353,139.9242,16.38,88,28,4.38,scattered clouds
333,Mitchell,US,43.7094,-98.0298,29.1,94,0,6.91,clear sky
334,Nome,US,64.5011,-165.4064,17.67,49,0,8.05,clear sky
335,Nizwa,OM,22.9333,57.5333,98.19,6,0,10.83,clear sky
336,Huangchuan,CN,32.1272,115.0394,55.83,70,2,6.58,clear sky
337,Takapau,NZ,-40.0333,176.35,52.74,97,94,2.06,overcast clouds
338,Havelock,US,34.8791,-76.9013,53.55,62,0,9.22,clear sky
339,Nanning,CN,22.8167,108.3167,61.25,63,98,4.45,overcast clouds
340,Kibondo,TZ,-3.5864,30.7203,75.4,63,87,5.03,light rain
341,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,21.79,68,75,2.24,broken clouds
342,Manokwari,ID,-0.8667,134.0833,80.76,79,100,0.6,light rain
343,Coquimbo,CL,-29.9533,-71.3436,59.05,85,27,3.29,scattered clouds
344,Te Anau,NZ,-45.4167,167.7167,48.99,91,4,0.69,clear sky
